FrameCounter,Timestamp,LedState,Region0G
0,30094.54064,6,0.034083158
1,30094.56575,1,0.03625901
2,30094.59085,6,0.033850062
3,30094.61595,1,0.035970457
4,30094.64106,6,0.033617659
5,30094.66615,1,0.035782766
6,30094.69125,6,0.033484214
7,30094.71634,1,0.035663706
8,30094.74146,6,0.033358047
9,30094.76655,1,0.035516742
10,30094.79164,6,0.033221309
11,30094.81676,1,0.035446554
12,30094.84183,6,0.033184915
13,30094.86695,1,0.03538295
14,30094.89204,6,0.033142975
15,30094.91716,1,0.035408426
16,30094.94225,6,0.033160825
17,30094.96736,1,0.035397681
18,30094.99248,6,0.033089597
19,30095.01758,1,0.035303576
20,30095.04267,6,0.033012129
21,30095.06776,1,0.035259557
22,30095.09288,6,0.032992372
23,30095.11797,1,0.0352398
24,30095.14307,6,0.032954938
25,30095.16818,1,0.035188675
26,30095.19328,6,0.032920104
27,30095.21837,1,0.035192487
28,30095.24346,6,0.032925649
29,30095.26858,1,0.035158
30,30095.29367,6,0.032908492
31,30095.31877,1,0.035146041
32,30095.34388,6,0.032875911
33,30095.36898,1,0.035165278
34,30095.39407,6,0.032884923
35,30095.41919,1,0.035158693
36,30095.44428,6,0.032881976
37,30095.4694,1,0.035150894
38,30095.49449,6,0.032768461
39,30095.5196,1,0.035084691
40,30095.5447,6,0.03277626
41,30095.56981,1,0.035094743
42,30095.59491,6,0.032763782
43,30095.62002,1,0.035090584
44,30095.64513,6,0.032750784
45,30095.67021,1,0.035072213
46,30095.6953,6,0.032749051
47,30095.72042,1,0.035087637
48,30095.74551,6,0.032723922
49,30095.77061,1,0.035063375
50,30095.7957,6,0.032729641
51,30095.82082,1,0.035062508
52,30095.84591,6,0.032732933
53,30095.87101,1,0.035092663
54,30095.8961,6,0.032732067
55,30095.9212,1,0.035081572
56,30095.94631,6,0.032727908
57,30095.9714,1,0.035071693
58,30095.99652,6,0.032713523
59,30096.02163,1,0.035068227
60,30096.04673,6,0.032709537
61,30096.07184,1,0.035058349
62,30096.09695,6,0.032714563
63,30096.12205,1,0.035045178
64,30096.14714,6,0.032699139
65,30096.17224,1,0.035046911
66,30096.19735,6,0.032695846
67,30096.22245,1,0.035015542
68,30096.24754,6,0.032705031
69,30096.27266,1,0.035022128
70,30096.29775,6,0.032679902
71,30096.32284,1,0.035026807
72,30096.34794,6,0.032706938
73,30096.37305,1,0.035041885
74,30096.39815,6,0.032722708
75,30096.42324,1,0.035026114
76,30096.44836,6,0.032724788
77,30096.47345,1,0.035059909
78,30096.49855,6,0.032718029
79,30096.52364,1,0.035040672
80,30096.54876,6,0.032739866
81,30096.57385,1,0.03502854
82,30096.59894,6,0.032729467
83,30096.62406,1,0.035053496
84,30096.64915,6,0.032709017
85,30096.67425,1,0.035021955
