FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
0,25496.14881201,6,0,0,0,0,0,0.031166423598707
1,25496.173909463,1,0,0,0,0,0,0.0336337762985418
2,25496.199002604,6,0,0,0,0,0,0.0311426807231098
3,25496.224117022,1,0,0,0,0,0,0.0335729460114278
4,25496.249212889,6,0,0,0,0,0,0.03110386025498
5,25496.274308999,1,0,0,0,0,0,0.0335289263734592
6,25496.299423217,6,0,0,0,0,0,0.0310851432435603
7,25496.324517333,1,0,0,0,0,0,0.0334738151731679
8,25496.349610512,6,0,0,0,0,0,0.0310614003679631
9,25496.374706582,1,0,0,0,0,0,0.0334724287278775
10,25496.399820311,6,0,0,0,0,0,0.0310267392357044
11,25496.424934854,1,0,0,0,0,0,0.0334422735428125
12,25496.45002954,6,0,0,0,0,0,0.0310139146167687
13,25496.475122312,1,0,0,0,0,0,0.0334289290068929
14,25496.500235797,6,0,0,0,0,0,0.0309875721562521
15,25496.525332029,1,0,0,0,0,0,0.0334304887578445
16,25496.550423542,6,0,0,0,0,0,0.0309945043827039
17,25496.575540282,1,0,0,0,0,0,0.0334050128256344
18,25496.600635375,6,0,0,0,0,0,0.0309579368881709
19,25496.625749021,1,0,0,0,0,0,0.0334155844709733
20,25496.650844196,6,0,0,0,0,0,0.0309589767221387
21,25496.67595768,1,0,0,0,0,0,0.0333847360632631
22,25496.70105257,6,0,0,0,0,0,0.0309579368881709
23,25496.726145385,1,0,0,0,0,0,0.0334077857162151
24,25496.751258137,6,0,0,0,0,0,0.030937313514477
25,25496.776337319,1,0,0,0,0,0,0.0333876822595051
26,25496.801450275,6,0,0,0,0,0,0.0309180765860734
27,25496.826545205,1,0,0,0,0,0,0.0333954810142633
28,25496.851639851,6,0,0,0,0,0,0.0309203295596703
29,25496.876734658,1,0,0,0,0,0,0.0333800568104081
30,25496.901848997,6,0,0,0,0,0,0.0308880947066697
31,25496.926943846,1,0,0,0,0,0,0.033382309784005
32,25496.952058145,6,0,0,0,0,0,0.0309017858539119
33,25496.977150024,1,0,0,0,0,0,0.0333755508632145
34,25497.002262166,6,0,0,0,0,0,0.0308834154538148
35,25497.027360024,1,0,0,0,0,0,0.033363419466924
36,25497.052474078,6,0,0,0,0,0,0.0308834154538148
37,25497.077569253,1,0,0,0,0,0,0.0333760707801984
38,25497.102664468,6,0,0,0,0,0,0.0308633119971047
39,25497.127756469,1,0,0,0,0,0,0.0333736445009403
40,25497.152873329,6,0,0,0,0,0,0.030879429423605
41,25497.177967487,1,0,0,0,0,0,0.0333559673234884
42,25497.20305725,6,0,0,0,0,0,0.0308704175292177
43,25497.228156493,1,0,0,0,0,0,0.0333407164252945
44,25497.253268554,6,0,0,0,0,0,0.030870590834879
45,25497.278365924,1,0,0,0,0,0,0.0333597800480368
46,25497.303459471,6,0,0,0,0,0,0.0308815090915405
47,25497.328555174,1,0,0,0,0,0,0.0333476486517463
48,25497.353668619,6,0,0,0,0,0,0.0308681645556209
49,25497.3787642,1,0,0,0,0,0,0.0333649792178756
50,25497.403857786,6,0,0,0,0,0,0.0308702442235564
51,25497.428950641,1,0,0,0,0,0,0.033345742289472
52,25497.454064167,6,0,0,0,0,0,0.0308763099217017
53,25497.479180825,1,0,0,0,0,0,0.0333389833686816
54,25497.504275512,6,0,0,0,0,0,0.0308627920801208
55,25497.529369789,1,0,0,0,0,0,0.0333500749310044
56,25497.55448364,6,0,0,0,0,0,0.0308704175292177
57,25497.579578286,1,0,0,0,0,0,0.0333303180856169
58,25497.604673705,6,0,0,0,0,0,0.0308582861329272
59,25497.629784911,1,0,0,0,0,0,0.033338636757359
60,25497.654881591,6,0,0,0,0,0,0.0308541267970562
61,25497.67997416,1,0,0,0,0,0,0.0333509414593108
62,25497.705069456,6,0,0,0,0,0,0.0308558598536691
63,25497.730181476,1,0,0,0,0,0,0.0333417562592623
64,25497.755279988,6,0,0,0,0,0,0.030843381846056
65,25497.780394164,1,0,0,0,0,0,0.0333304913912782
66,25497.805488564,6,0,0,0,0,0,0.0308610590235079
67,25497.830583047,1,0,0,0,0,0,0.0333323977535524
68,25497.855675699,6,0,0,0,0,0,0.0308388758988623
69,25497.880789672,1,0,0,0,0,0,0.0333225193308587
70,25497.90588273,6,0,0,0,0,0,0.0308364496196042
71,25497.930999102,1,0,0,0,0,0,0.033335690561117
72,25497.956094969,6,0,0,0,0,0,0.0308378360648946
