FrameCounter,Timestamp,LedState,Region0G
0,34390.00321,6,0.029962123
1,34390.02832,1,0.032639868
2,34390.05341,6,0.029983266
3,34390.07851,1,0.032589263
4,34390.1036,6,0.029961256
5,34390.12872,1,0.032610233
6,34390.15381,6,0.029987425
7,34390.17893,1,0.032618378
8,34390.20402,6,0.029977027
9,34390.22913,1,0.032587703
10,34390.25423,6,0.029996957
11,34390.27933,1,0.032576785
12,34390.30442,6,0.029978933
13,34390.32953,1,0.032587183
14,34390.35463,6,0.030001116
15,34390.37972,1,0.032602434
16,34390.40482,6,0.02999765
17,34390.42993,1,0.032578691
18,34390.45503,6,0.029976854
19,34390.48012,1,0.032577825
20,34390.50522,6,0.030027112
21,34390.53033,1,0.032579038
22,34390.55543,6,0.03000181
23,34390.58052,1,0.032572106
24,34390.60561,6,0.030005102
25,34390.63073,1,0.032570026
26,34390.65584,6,0.030002849
27,34390.68094,1,0.032575745
28,34390.70605,6,0.030013594
29,34390.73115,1,0.032575572
30,34390.75626,6,0.030013074
31,34390.78135,1,0.032561014
32,34390.80645,6,0.030007529
33,34390.83154,1,0.032580771
34,34390.85665,6,0.030011861
35,34390.88175,1,0.032565
36,34390.90685,6,0.029996957
37,34390.93194,1,0.032559974
38,34390.95704,6,0.029994704
39,34390.98215,1,0.032571239
40,34391.00726,6,0.029990198
41,34391.03234,1,0.032575745
42,34391.05745,6,0.029982746
43,34391.08255,1,0.032565694
44,34391.10764,6,0.030006316
45,34391.13276,1,0.032558241
46,34391.15785,6,0.029992278
47,34391.18296,1,0.032559281
48,34391.20806,6,0.0299798
49,34391.23317,1,0.032554429
50,34391.25827,6,0.029990198
51,34391.28336,1,0.032559108
52,34391.30848,6,0.029977027
53,34391.33357,1,0.032563614
54,34391.35866,6,0.029996957
55,34391.38378,1,0.032572972
56,34391.40887,6,0.029972521
57,34391.43397,1,0.032579385
58,34391.45906,6,0.029960909
59,34391.48418,1,0.032565694
60,34391.50927,6,0.02997512
61,34391.53438,1,0.032578345
62,34391.55946,6,0.029988638
63,34391.58457,1,0.032570026
64,34391.60967,6,0.029986039
65,34391.63476,1,0.032566907
66,34391.65986,6,0.029975294
67,34391.68497,1,0.032576265
68,34391.71007,6,0.029983266
69,34391.73518,1,0.032567773
70,34391.76027,6,0.029984132
71,34391.78537,1,0.03256448
72,34391.81048,6,0.029984132
73,34391.83558,1,0.032560668
74,34391.86067,6,0.029969921
75,34391.88579,1,0.032574705
76,34391.91088,6,0.02997876
77,34391.93598,1,0.03254871
78,34391.96109,6,0.029978587
79,34391.98618,1,0.032573146
80,34392.01128,6,0.029982919
81,34392.03637,1,0.032575572
82,34392.06149,6,0.030003369
83,34392.08658,1,0.032552349
84,34392.11168,6,0.03000077
85,34392.13677,1,0.032576612
86,34392.16189,6,0.030007009
87,34392.18698,1,0.032575399
88,34392.21208,6,0.029979453
89,34392.23719,1,0.03256448
90,34392.2623,6,0.030012035
91,34392.2874,1,0.032577998
92,34392.31251,6,0.0300207
93,34392.3376,1,0.032560321
94,34392.3627,6,0.030002676
95,34392.3878,1,0.032565867
96,34392.41289,6,0.029999037
97,34392.438,1,0.032567946
98,34392.4631,6,0.030004582
99,34392.48819,1,0.032570026
100,34392.51331,6,0.02999609
101,34392.5384,1,0.032551482
102,34392.5635,6,0.030007702
103,34392.58861,1,0.032570719
104,34392.61371,6,0.029998863
105,34392.6388,1,0.032584237
106,34392.66389,6,0.030015674
107,34392.68901,1,0.032564134
108,34392.7141,6,0.030012381
109,34392.7392,1,0.032570199
110,34392.76431,6,0.030016714
111,34392.78943,1,0.032548363
112,34392.81452,6,0.029994704
113,34392.83961,1,0.032545243
114,34392.86473,6,0.030013074
115,34392.88982,1,0.032557375
116,34392.91491,6,0.02999609
117,34392.94001,1,0.032564307
118,34392.96513,6,0.030000596
119,34392.99022,1,0.032574359
120,34393.01532,6,0.029990198
121,34393.04043,1,0.032573839
122,34393.06552,6,0.029984652
123,34393.09062,1,0.032558241
124,34393.11573,6,0.029969401
125,34393.14083,1,0.03256396
126,34393.16592,6,0.029988465
127,34393.19102,1,0.032555295
128,34393.21613,6,0.029995397
129,34393.24122,1,0.032561707
130,34393.26632,6,0.02997668
131,34393.29143,1,0.032553735
132,34393.31653,6,0.029979973
133,34393.34164,1,0.032550096
134,34393.36674,6,0.02997824
