FrameCounter,Timestamp,LedState,Region0G
174,116135.259,6,0.030508729
175,116135.2841,1,0.033834811
176,116135.3092,6,0.030521553
177,116135.3343,1,0.033830825
178,116135.3594,6,0.030520167
179,116135.3845,1,0.033834118
180,116135.4096,6,0.030543216
181,116135.4347,1,0.033823893
182,116135.4598,6,0.030529872
183,116135.4849,1,0.033814881
184,116135.51,6,0.030529699
185,116135.5351,1,0.033840183
186,116135.5602,6,0.030516527
187,116135.5853,1,0.033826839
188,116135.6104,6,0.030530565
189,116135.6355,1,0.033814361
190,116135.6606,6,0.030525886
191,116135.6858,1,0.033827185
192,116135.7108,6,0.030534551
193,116135.7359,1,0.033821986
194,116135.761,6,0.030516181
195,116135.7862,1,0.033835504
196,116135.8113,6,0.030550149
197,116135.8364,1,0.033831518
198,116135.8615,6,0.030548589
199,116135.8866,1,0.03384157
200,116135.9117,6,0.030544949
201,116135.9368,1,0.033837064
202,116135.9619,6,0.030548589
203,116135.987,1,0.033829958
204,116136.0121,6,0.030556908
205,116136.0372,1,0.033825452
206,116136.0623,6,0.030544083
207,116136.0874,1,0.033818693
208,116136.1125,6,0.030565573
209,116136.1376,1,0.033812454
210,116136.1627,6,0.030551362
211,116136.1878,1,0.033836891
212,116136.2129,6,0.030548936
213,116136.238,1,0.033830305
214,116136.2631,6,0.030569212
215,116136.2882,1,0.03381904
216,116136.3133,6,0.030553788
217,116136.3384,1,0.033820773
218,116136.3635,6,0.030552748
219,116136.3886,1,0.033826839
220,116136.4137,6,0.030544083
221,116136.4388,1,0.03379755
222,116136.4639,6,0.030532125
223,116136.489,1,0.033818867
224,116136.5141,6,0.030546509
225,116136.5392,1,0.033824586
226,116136.5643,6,0.030563147
227,116136.5894,1,0.033814187
228,116136.6145,6,0.030549455
229,116136.6396,1,0.033812281
230,116136.6647,6,0.03052294
231,116136.6898,1,0.033805176
232,116136.7149,6,0.030525886
233,116136.74,1,0.033804829
234,116136.7651,6,0.030530045
235,116136.7902,1,0.033810375
236,116136.8153,6,0.03051826
237,116136.8404,1,0.033814881
238,116136.8655,6,0.030534724
239,116136.8906,1,0.033814534
240,116136.9157,6,0.030532645
241,116136.9408,1,0.033815401
242,116136.9659,6,0.030534551
243,116136.991,1,0.033811761
244,116137.0161,6,0.030524499
245,116137.0412,1,0.033814361
246,116137.0663,6,0.030535418
247,116137.0914,1,0.033803962
248,116137.1165,6,0.030526926
249,116137.1416,1,0.033810375
250,116137.1667,6,0.030527619
251,116137.1918,1,0.033811935
252,116137.2169,6,0.030517047
253,116137.242,1,0.033809335
254,116137.2671,6,0.030522766
255,116137.2922,1,0.033783339
256,116137.3173,6,0.03052294
257,116137.3424,1,0.033814361
258,116137.3675,6,0.030529872
259,116137.3926,1,0.033815401
260,116137.4177,6,0.030532125
261,116137.4428,1,0.033815574
262,116137.4679,6,0.030536458
263,116137.493,1,0.033815921
264,116137.5181,6,0.030527099
265,116137.5432,1,0.033813668
266,116137.5683,6,0.030521727
267,116137.5934,1,0.033810028
268,116137.6185,6,0.030512888
269,116137.6436,1,0.033809162
270,116137.6687,6,0.03052034
271,116137.6938,1,0.033797377
272,116137.7189,6,0.030512021
273,116137.744,1,0.033815227
274,116137.7691,6,0.03051982
275,116137.7942,1,0.033783166
276,116137.8193,6,0.030514968
277,116137.8444,1,0.033815054
278,116137.8695,6,0.030514101
279,116137.8946,1,0.033818174
280,116137.9197,6,0.030514448
281,116137.9448,1,0.033823719
282,116137.9699,6,0.030508902
283,116137.995,1,0.033832558
284,116138.0201,6,0.03050093
285,116138.0452,1,0.033815401
286,116138.0703,6,0.030504049
287,116138.0954,1,0.033820426
288,116138.1205,6,0.030505956
289,116138.1456,1,0.033796337
290,116138.1707,6,0.030515314
291,116138.1958,1,0.033797204
292,116138.2209,6,0.030509595
293,116138.246,1,0.033826839
294,116138.2711,6,0.030490878
295,116138.2962,1,0.033805176
296,116138.3213,6,0.030485679
297,116138.3464,1,0.033808295
298,116138.3715,6,0.030485852
299,116138.3966,1,0.033809335
300,116138.4217,6,0.030500757
301,116138.4468,1,0.03379859
302,116138.4719,6,0.030491745
303,116138.497,1,0.033796164
304,116138.5221,6,0.030484293
305,116138.5472,1,0.033807255
306,116138.5723,6,0.030496771
307,116138.5974,1,0.033789058
308,116138.6225,6,0.030484466
309,116138.6476,1,0.033803789
310,116138.6727,6,0.030488798
311,116138.6978,1,0.033794951
312,116138.7229,6,0.030490705
313,116138.748,1,0.033814361
314,116138.7731,6,0.030486545
315,116138.7982,1,0.03380119
316,116138.8233,6,0.030498157
317,116138.8484,1,0.033792004
318,116138.8735,6,0.030502836
319,116138.8986,1,0.03379807
320,116138.9237,6,0.030511328
321,116138.9488,1,0.033794084
322,116138.9739,6,0.030502143
323,116138.9991,1,0.033807602
324,116139.0241,6,0.030512021
325,116139.0493,1,0.033805869
326,116139.0744,6,0.030514621
327,116139.0994,1,0.033806215
328,116139.1246,6,0.030509595
329,116139.1497,1,0.033806042
330,116139.1748,6,0.030516354
331,116139.1999,1,0.033806042
332,116139.225,6,0.030517221
333,116139.2501,1,0.033805002
334,116139.2752,6,0.030489665
335,116139.3002,1,0.03377554
336,116139.3254,6,0.030499543
337,116139.3505,1,0.033806042
338,116139.3755,6,0.030488972
339,116139.4006,1,0.033811588
340,116139.4258,6,0.030495904
341,116139.4509,1,0.033799457
342,116139.4759,6,0.030496944
343,116139.5011,1,0.033808642
344,116139.5262,6,0.030482386
345,116139.5513,1,0.033819387
346,116139.5764,6,0.030495211
347,116139.6015,1,0.033806562
348,116139.6266,6,0.030509768
349,116139.6516,1,0.033799803
350,116139.6768,6,0.030509249
351,116139.7019,1,0.033812974
352,116139.727,6,0.030503183
353,116139.7521,1,0.033801536
354,116139.7772,6,0.030493131
355,116139.8023,1,0.033801363
356,116139.8274,6,0.0305219
357,116139.8525,1,0.033803789
358,116139.8776,6,0.030517221
359,116139.9027,1,0.033788018
360,116139.9278,6,0.030499543
361,116139.9529,1,0.033815401
362,116139.978,6,0.030495384
363,116140.0031,1,0.033785939
364,116140.0282,6,0.030523633
365,116140.0533,1,0.033800843
366,116140.0784,6,0.030517221
367,116140.1035,1,0.033812281
368,116140.1286,6,0.030521033
369,116140.1537,1,0.033822333
370,116140.1788,6,0.030536804
371,116140.2039,1,0.033835677
372,116140.229,6,0.03054027
373,116140.2541,1,0.033849195
374,116140.2792,6,0.030521553
375,116140.3043,1,0.033824932
376,116140.3294,6,0.030537324
377,116140.3545,1,0.033824586
378,116140.3796,6,0.030509942
379,116140.4047,1,0.033815054
380,116140.4298,6,0.030509768
381,116140.4549,1,0.033815574
382,116140.48,6,0.030509075
383,116140.5051,1,0.033820426
384,116140.5302,6,0.030529525
385,116140.5553,1,0.033836717
386,116140.5804,6,0.030510808
387,116140.6055,1,0.033831171
388,116140.6306,6,0.030526232
389,116140.6557,1,0.033834464
390,116140.6808,6,0.030529005
391,116140.7059,1,0.033846076
392,116140.731,6,0.030517394
393,116140.7561,1,0.033840877
394,116140.7812,6,0.030514101
