FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
0,25948.835983356,6,0,0,0,0,0,0.0334421989791723,0.0335528590844087
1,25948.86309269,1,0,0,0,0,0,0.0300580089131182,0.0298923992975274
2,25948.890187173,6,0,0,0,0,0,0.0334667194236474,0.0335581066792576
3,25948.917298054,1,0,0,0,0,0,0.0300425223166076,0.0298748198547835
4,25948.944387857,6,0,0,0,0,0,0.0334492048204509,0.0335565324008029
5,25948.971498573,1,0,0,0,0,0,0.0300425223166076,0.0298910873988152
6,25948.998591754,6,0,0,0,0,0,0.0334532608338227,0.0335573195400303
7,25949.025702309,1,0,0,0,0,0,0.030066305304106,0.0298782307914353
8,25949.052812865,6,0,0,0,0,0,0.0334331651312078,0.0335641414133339
9,25949.079904337,1,0,0,0,0,0,0.0300403099456775,0.0298874140824209
10,25949.107015014,6,0,0,0,0,0,0.0334283716608593,0.0335431510339381
11,25949.134124916,1,0,0,0,0,0,0.03004086303841,0.0298777060319504
12,25949.161216591,6,0,0,0,0,0,0.0334219189123132,0.033573587084062
13,25949.18832792,1,0,0,0,0,0,0.0300460252372469,0.0298784931711777
14,25949.215417479,6,0,0,0,0,0,0.033430215303301,0.0335704385271526
15,25949.242531168,1,0,0,0,0,0,0.0300401255814333,0.0298871517026785
16,25949.269621783,6,0,0,0,0,0,0.0334197065413831,0.0335402648567712
17,25949.296731484,1,0,0,0,0,0,0.0300406786741659,0.0298942359557246
18,25949.323823851,6,0,0,0,0,0,0.0334300309390568,0.0335646661728188
19,25949.350933063,1,0,0,0,0,0,0.0300441815948052,0.0298876764621634
20,25949.378026081,6,0,0,0,0,0,0.0334318745814986,0.0335730623245771
21,25949.405136474,1,0,0,0,0,0,0.0300362539323057,0.0298942359557246
22,25949.432227985,6,0,0,0,0,0,0.033433349495452,0.0335583690590001
23,25949.459337441,1,0,0,0,0,0,0.0300500812506187,0.0298937111962397
24,25949.486448363,6,0,0,0,0,0,0.0334366680518471,0.0335573195400303
25,25949.513540282,1,0,0,0,0,0,0.0300393881244566,0.0299084044618167
26,25949.540651855,6,0,0,0,0,0,0.0334348244094054,0.0335644037930764
27,25949.56775773,1,0,0,0,0,0,0.0300384663032358,0.0298895131203605
28,25949.594852049,6,0,0,0,0,0,0.0334272654753942,0.0335392153378014
29,25949.621962278,1,0,0,0,0,0,0.0300589307343391,0.0298887259811332
30,25949.649054564,6,0,0,0,0,0,0.033438696058533,0.0335302944265582
31,25949.676167764,1,0,0,0,0,0,0.0300515561645721,0.0298884636013907
32,25949.703257364,6,0,0,0,0,0,0.0334261592899292,0.0335696513879253
33,25949.730349241,1,0,0,0,0,0,0.0300097054811447,0.029906830183362
34,25949.757459145,6,0,0,0,0,0,0.0334375898730679,0.033548923388272
35,25949.78455021,1,0,0,0,0,0,0.0300392037602125,0.0298958102341793
36,25949.811660928,6,0,0,0,0,0,0.0334558419332412,0.0335473491098173
37,25949.838774454,1,0,0,0,0,0,0.030035516475329,0.0298832160065418
38,25949.865885335,6,0,0,0,0,0,0.0334292934820801,0.0335497105274993
39,25949.892975625,1,0,0,0,0,0,0.0300285106340504,0.0298666860827676
40,25949.920086424,6,0,0,0,0,0,0.0334499422774276,0.0335334429834676
41,25949.947175536,1,0,0,0,0,0,0.0300476845154445,0.0298876764621634
42,25949.974288817,6,0,0,0,0,0,0.0334353775021379,0.0335384281985741
43,25950.001379719,1,0,0,0,0,0,0.0300467626942236,0.0298774436522079
44,25950.02850533,6,0,0,0,0,0,0.0334394335155097,0.033551284805954
45,25950.055580768,1,0,0,0,0,0,0.0300327510116664,0.0298800674496324
46,25950.082693317,6,0,0,0,0,0,0.0334477299064975,0.0335625671348792
47,25950.109785481,1,0,0,0,0,0,0.0300357008395732,0.0298800674496324
48,25950.136893473,6,0,0,0,0,0,0.0334322433099869,0.0335701761474102
