Zscore,SEM,Time
0.14869949640721028,0.24135231956806744,-5.0
0.12754870853361464,0.23754682519812606,-4.95
0.08758704877669543,0.23199059059028454,-4.9
0.05613152549387255,0.2295418219013671,-4.85
0.03833937637713669,0.22599147147831386,-4.8
0.015926511518832658,0.2250711019912226,-4.75
-0.005724012882873164,0.22370199669793606,-4.7
-0.014546014224516188,0.2256962688701327,-4.65
-0.03005972733795803,0.22518517085163403,-4.6
-0.04236520358124584,0.22347405698700515,-4.55
-0.04361219034757905,0.22296846633633194,-4.5
-0.04395413466645253,0.22403599477541042,-4.45
-0.05276762142488491,0.2226685214378601,-4.4
-0.059794426376884084,0.22086815669783647,-4.35
-0.05520361127742342,0.21967528415429718,-4.3
-0.059408880965880026,0.21756652126126186,-4.25
-0.06477755295954585,0.21466241386512783,-4.2
-0.07586697775545685,0.21140271235176294,-4.15
-0.07465847785856734,0.20759935043918806,-4.1
-0.07881334114911671,0.20469690599795848,-4.05
-0.07681651817698798,0.2009424458289226,-4.0
-0.08718849590568387,0.197767926557389,-3.95
-0.0907614759387745,0.19337112808362483,-3.9
-0.09836143119680123,0.19025121586399843,-3.85
-0.10589179193413001,0.18726933356771325,-3.8
-0.12402480236407847,0.1839617292805678,-3.75
-0.12414356930844965,0.18226075552723414,-3.7
-0.13720579554264986,0.17963586933793446,-3.65
-0.14900687487204686,0.1762794700737988,-3.6
-0.1660197313523121,0.17328609930413025,-3.55
-0.17884231590067085,0.16786488381204526,-3.5
-0.18167199102773002,0.163804951943831,-3.45
-0.19474526346466078,0.15995412985956595,-3.4
-0.20898433896421312,0.1573651958420191,-3.35
-0.2227859591328316,0.1538528337486937,-3.3
-0.23677674143486202,0.14744322769690837,-3.25
-0.2476814874905741,0.1457075313012135,-3.2
-0.25468975890594897,0.1429503321720707,-3.15
-0.26331670236747107,0.14098491953934736,-3.1
-0.25980354420803264,0.13678983027200958,-3.05
-0.27314865742602984,0.13656549692072642,-3.0
-0.2831776091581022,0.1332154415212546,-2.95
-0.2822921889646141,0.12975410652630434,-2.9
-0.26889069475654803,0.12447961148157921,-2.85
-0.2668464279506287,0.12260610570781226,-2.8
-0.262416217001803,0.11786134818626855,-2.75
-0.26001070120736836,0.11581624100857964,-2.7
-0.24514252778580795,0.11211150015176465,-2.65
-0.23091267164576681,0.11047504204367752,-2.6
-0.2130379581881465,0.11009929675380838,-2.55
-0.18922770846675646,0.10450741595736193,-2.5
-0.18092914921321793,0.10389663674001433,-2.45
-0.16738162457528755,0.10306847699029292,-2.4
-0.15477264050637762,0.10101003384717984,-2.35
-0.15320947797997228,0.102406211292928,-2.3
-0.14009076693369776,0.10219095740119498,-2.25
-0.13615276251736916,0.10317494885728296,-2.2
-0.12595289568444384,0.104770670326206,-2.15
-0.11764998242314331,0.10990641094183802,-2.1
-0.10593995250776723,0.11019167100148917,-2.05
-0.0902040662356679,0.11401499403427666,-2.0
-0.06591441518165816,0.11856188219432201,-1.95
-0.04844359361367888,0.12276834030755139,-1.9
-0.03227656037305263,0.1255096648935094,-1.85
-0.015959597819426415,0.12921992446911865,-1.8
-0.0014204608341617559,0.1336134440627086,-1.75
0.011385731812477897,0.14030259526686614,-1.7
0.011335591343627207,0.14674060654480656,-1.65
0.030678807817887985,0.15101072613954603,-1.6
0.0302678638421772,0.1563061012194084,-1.55
0.04247826948453567,0.1613539412143103,-1.5
0.052759814278525434,0.16602234584281342,-1.45
0.07254047353486293,0.17089979359131305,-1.4
0.0892391266552092,0.177388071039616,-1.35
0.107253943751158,0.18075546833689649,-1.3
0.12097471499828225,0.18570551221942444,-1.25
0.14517309416230068,0.19071362520520113,-1.2
0.1620607884076002,0.19504293229343148,-1.15
0.17731763499119588,0.20063437969482034,-1.1
0.18556326536759138,0.20371154859906127,-1.05
0.20105513248891665,0.20826152072397824,-1.0
0.20534712403642016,0.21285374683371094,-0.95
0.22394057058947994,0.2180421311510302,-0.9
0.23530452410157057,0.22318083001707695,-0.85
0.2503562424535594,0.22668118851424107,-0.8
0.2640823435968779,0.2307920321628503,-0.75
0.2934952028905564,0.23496545248539397,-0.7
0.30461667342041465,0.23960291170496786,-0.65
0.3234401461343316,0.2421912527071725,-0.6
0.3505175240563716,0.24292563870224015,-0.55
0.3562296423518066,0.2455742597218006,-0.5
0.37381571823554804,0.24844816468298833,-0.45
0.3915781785215525,0.2520283584276355,-0.4
0.39866399207029835,0.2547105519894189,-0.35
0.4108609677636287,0.2563788614959708,-0.3
0.4175690062918607,0.261334776339101,-0.25
0.4261356284049735,0.2648190393078746,-0.2
0.42782101858624105,0.2716646523752904,-0.15
0.4255800963717239,0.271028877789948,-0.1
0.42800055132685605,0.2753469136217714,-0.05
0.4393510806681015,0.28269576767803284,0.0
0.4393638294372453,0.2852906916618378,0.05
0.44545306486551645,0.29095467039557976,0.1
0.4335124497993257,0.2919841687831138,0.15
0.4394059907408672,0.29559080018468936,0.2
0.4399942816266679,0.3017310552794955,0.25
0.4289058986021295,0.3031286038920863,0.3
0.43297679519249394,0.3077902966872085,0.35
0.42571397394891797,0.3091483190328466,0.4
0.42760608555268825,0.31274113690873845,0.45
0.4266524782471609,0.31627695656533994,0.5
0.43099517221967387,0.31911582105060726,0.55
0.4329175055506438,0.3214708018146082,0.6
0.4446608230608465,0.32668919765486537,0.65
0.4514406066498969,0.3330566589868957,0.7
0.45720053662465376,0.3388877996794787,0.75
0.4681430978524405,0.346616786934373,0.8
0.46881774868721315,0.34743040863913366,0.85
0.46954424282432816,0.3538132464705898,0.9
