Zscore,SEM,Time
-0.062297466537641184,0.16460665799906987,-5.0
-0.06041384949300555,0.16127825480368124,-4.95
-0.06426402208939191,0.15824121210824382,-4.9
-0.061211744014304355,0.15550542707827758,-4.85
-0.06877228364975588,0.15316491123698023,-4.8
-0.0685703625406918,0.1503442615154655,-4.75
-0.0653450914470271,0.14802175230952963,-4.7
-0.06500107675831367,0.14495619723843398,-4.65
-0.0744738253579281,0.14319189478008734,-4.6
-0.06993399780439735,0.13983528729118358,-4.55
-0.06944076022705357,0.13682677924096076,-4.5
-0.0645962378593618,0.133681161700791,-4.45
-0.06918135863538247,0.13052810209727794,-4.4
-0.0698627542016224,0.1270627254344472,-4.35
-0.06674968212950991,0.12363556926797264,-4.3
-0.048869884990728446,0.11997796914666765,-4.25
-0.03562342801024734,0.11755025227474783,-4.2
-0.020091623742583102,0.1144609118399928,-4.15
-0.004180934393208332,0.11196576500034851,-4.1
0.009848394816265392,0.10860900345481315,-4.05
0.029150926493095176,0.106554327331591,-4.0
0.03493389197490096,0.10377168044526767,-3.95
0.04091089277369338,0.10181981090635199,-3.9
0.04245232643568089,0.09885780193551838,-3.85
0.05045123811595393,0.09698463371699252,-3.8
0.053855013684049075,0.09406777260538207,-3.75
0.0586576087138475,0.09264659384087161,-3.7
0.06187179322851073,0.08974359193659277,-3.65
0.06361746055849617,0.08731499476610692,-3.6
0.06318389563379244,0.08570148720065007,-3.55
0.07329778986381616,0.08391140990895961,-3.5
0.07143112899737838,0.08299143816280374,-3.45
0.07175064627803139,0.08178570521030872,-3.4
0.07192991514538238,0.07924656335579694,-3.35
0.06743227049979152,0.07743919432286132,-3.3
0.07115400479508854,0.07583293543982168,-3.25
0.07127973521574184,0.07525024418709526,-3.2
0.07161351302370546,0.07484076375874467,-3.15
0.06580673163691327,0.07355583794733586,-3.1
0.06497781908208793,0.07316096481762545,-3.05
0.052359621139438504,0.07237955133014151,-3.0
0.04430362194277394,0.07209240309323221,-2.95
0.04124388749776732,0.07108491165962033,-2.9
0.03642581342959223,0.07076809286357297,-2.85
0.03662313365100939,0.07114514870933654,-2.8
0.025582360660635795,0.07112680686632648,-2.75
0.022240461898913044,0.07070290439801429,-2.7
0.009819898984019644,0.07073013101138127,-2.65
0.0003199577555809553,0.07013690947162965,-2.6
-0.006380858321347105,0.06978552560550504,-2.55
-0.02039651818768471,0.07144093505628332,-2.5
-0.04157544220091553,0.07090201296178478,-2.45
-0.05349220027206759,0.0719728743373934,-2.4
-0.05983538801334347,0.0719569995648149,-2.35
-0.05724414786205007,0.07116075884425567,-2.3
-0.06177921852879326,0.07056022354702322,-2.25
-0.07083134555032879,0.07130456148789244,-2.2
-0.08127332513541209,0.07266978111855303,-2.15
-0.08828841077203958,0.0734219386586648,-2.1
-0.09344478414677652,0.07398600618874292,-2.05
-0.08944013432260013,0.07421860053344423,-2.0
-0.08627631774755665,0.07496796511259489,-1.95
-0.08447044612884823,0.07646511686704018,-1.9
-0.0766646249364679,0.07816051813572997,-1.85
-0.08331414983267217,0.07968829859965305,-1.8
-0.08171900433766462,0.08176442938063753,-1.75
-0.0703918408947249,0.08299583213111392,-1.7
-0.0567935212168204,0.08472113975197106,-1.65
-0.06077548639299197,0.08520423862341125,-1.6
-0.06342076840535335,0.08632746283222167,-1.55
-0.06143782714781636,0.08777750972691782,-1.5
-0.05760498988511754,0.08918377522703316,-1.45
-0.05513350249209603,0.08990842112122681,-1.4
-0.050099789088144824,0.09139012347679325,-1.35
-0.05443949623754731,0.09250870762243228,-1.3
-0.04417664037853461,0.09457432445221244,-1.25
-0.05300770102030034,0.09559535693091226,-1.2
-0.053903024863424506,0.09765039759340802,-1.15
-0.05175271820388277,0.09985651291111076,-1.1
-0.05992645788034246,0.10249946385425834,-1.05
-0.04590757781248281,0.10537003277125763,-1.0
-0.04323532424885174,0.10890552940810416,-0.95
-0.02759172884672084,0.11190491446640939,-0.9
-0.018727850615857633,0.11542428117949328,-0.85
-0.005626101029482583,0.11746696821175405,-0.8
0.0034951764683279736,0.12018557281842013,-0.75
0.010180787155445792,0.12269864537581834,-0.7
0.021199943966428242,0.1254101361306867,-0.65
0.034490299069144865,0.12750474009224688,-0.6
0.04159714812264323,0.12904232745598257,-0.55
0.058964579079855375,0.13066159503775415,-0.5
0.07400513853282108,0.13315856145153465,-0.45
0.08968022943965419,0.1359794671357793,-0.4
0.119176462015646,0.13893373490540603,-0.35
0.1427855159651995,0.14182712402873485,-0.3
0.1650643947854595,0.14520183712827925,-0.25
0.18993615245255446,0.1491669452042093,-0.2
0.21769606768663607,0.15309815352143286,-0.15
0.24756954377421725,0.1582928439281638,-0.1
0.2848918543992107,0.16289503631191826,-0.05
0.35056363739834456,0.17430003776891193,0.0
0.38235459044904957,0.17932969368451807,0.05
0.4235502692448223,0.1845797877513689,0.1
0.46419639829349335,0.19012701663704834,0.15
0.4930826174731363,0.19732240088556846,0.2
0.5285100660242367,0.20373149773860585,0.25
0.5641602279624368,0.21045748173722448,0.3
0.6013320941795183,0.21739132953675774,0.35
0.6464947627530325,0.22373617906608262,0.4
0.6844231487359743,0.2308662749461277,0.45
0.7262407911393137,0.23688474452739094,0.5
0.7595843691710062,0.24306721906104076,0.55
0.7856711831438844,0.2500926650883694,0.6
0.8153992540638355,0.2586886120335023,0.65
0.8496686551865476,0.26692025975018757,0.7
0.8816210350269107,0.27616973828549873,0.75
0.9157877875105987,0.28481767403401614,0.8
0.9427440314347735,0.29320955260732423,0.85
0.9587613222569646,0.30169417321202496,0.9
