,Values,Placement,Behaviors
222,0.3025006852851008,Event,Group 1
223,0.2840081940822881,Event,Group 1
224,-0.1005542013833799,Event,Group 1
225,-0.2840641761809746,Event,Group 1
226,0.01812822857549314,Event,Group 1
227,-0.1477485262776118,Event,Group 1
228,-0.01603730531417261,Event,Group 1
229,0.7861527695729899,Event,Group 1
230,-0.4725038132038326,Event,Group 1
231,0.418093515841612,Event,Group 1
232,2.400963974682067,Baseline,Group 2
233,0.584279960778593,Baseline,Group 2
234,0.9402227876643936,Baseline,Group 2
235,0.6135671762336863,Baseline,Group 2
236,-1.11608815671786,Baseline,Group 2
237,-1.142746458726776,Baseline,Group 2
238,-0.1430813598312891,Baseline,Group 2
239,0.2224768887948545,Baseline,Group 2
240,0.04200458114579132,Baseline,Group 2
241,4.276479410412173,Baseline,Group 2
242,1.869901521527697,Baseline,Group 2
243,1.184827089015429,Baseline,Group 2
244,3.178803659954104,Baseline,Group 2
245,-0.5636324014341203,Baseline,Group 2
246,-0.4275413608930131,Baseline,Group 2
247,-0.7344362909148725,Baseline,Group 2
248,-0.4320863185904452,Baseline,Group 2
249,-0.1648196108410381,Baseline,Group 2
250,0.3526681504958947,Baseline,Group 2
251,0.2242479051113638,Baseline,Group 2
252,1.619291641176525,Event,Group 2
253,0.9788361056072152,Event,Group 2
254,0.6132486494295406,Event,Group 2
255,-0.286504705391253,Event,Group 2
256,-0.3097016091959999,Event,Group 2
257,-0.1923104920360646,Event,Group 2
258,0.1419026831171568,Event,Group 2
259,0.08837401486584398,Event,Group 2
260,-0.1602957102250548,Event,Group 2
261,2.698782931975588,Event,Group 2
262,0.7101945283174561,Event,Group 2
263,4.503558882467965,Event,Group 2
264,0.8688938940902509,Event,Group 2
265,1.191315333228264,Event,Group 2
266,0.198484562105731,Event,Group 2
267,2.046879227657373,Event,Group 2
268,-0.5406907539582819,Event,Group 2
269,-0.2105251955525915,Event,Group 2
270,-0.3563475402144819,Event,Group 2
271,0.9686652185733949,Event,Group 2
272,0.07330159455975385,Baseline,Group 3
273,-0.5915094562110277,Baseline,Group 3
274,0.1448986904328969,Baseline,Group 3
275,-0.2051598731082162,Baseline,Group 3
276,-0.6176687364789624,Baseline,Group 3
277,-0.3568578995265982,Baseline,Group 3
278,-0.1460121696401629,Baseline,Group 3
279,-0.260562474565079,Baseline,Group 3
280,-0.4947035325988829,Baseline,Group 3
281,-0.6439752748104312,Baseline,Group 3
282,-0.2789740174285129,Baseline,Group 3
283,-0.02831691994724799,Baseline,Group 3
284,0.630940608304634,Baseline,Group 3
285,0.08831962183528126,Baseline,Group 3
286,0.08449591584721919,Baseline,Group 3
287,-0.4851880489020839,Baseline,Group 3
288,-0.5926151768446934,Baseline,Group 3
289,-0.6807864568289503,Baseline,Group 3
290,-0.06518233932932452,Baseline,Group 3
291,0.2855524085943726,Baseline,Group 3
292,-0.3870042824012833,Baseline,Group 3
293,-0.2158281894327093,Baseline,Group 3
294,-0.2034124110889151,Baseline,Group 3
295,0.1537950024458724,Baseline,Group 3
296,-0.35732977804821,Baseline,Group 3
297,0.10837310715474,Baseline,Group 3
298,-0.03279081467868842,Baseline,Group 3
299,0.2528593538830175,Baseline,Group 3
300,0.3608929292816184,Event,Group 3
301,-0.4527217813358,Event,Group 3
302,0.2244183840955734,Event,Group 3
303,-0.8745811260298393,Event,Group 3
304,-0.3109019137105715,Event,Group 3
305,-0.3648216092799251,Event,Group 3
306,-0.3174322634050271,Event,Group 3
307,-0.1338126467360738,Event,Group 3
308,-0.6220700454022663,Event,Group 3
309,-0.4952755426256546,Event,Group 3
310,0.3274945789579354,Event,Group 3
311,0.1952239503102853,Event,Group 3
312,-0.05375771870284918,Event,Group 3
313,-0.02143814472572796,Event,Group 3
314,-0.3219184695947072,Event,Group 3
315,-0.4465802805444176,Event,Group 3
316,0.09612987901805069,Event,Group 3
317,0.2813561226671732,Event,Group 3
318,0.2960826574457543,Event,Group 3
319,0.2616626577349246,Event,Group 3
320,-0.0922984304217309,Event,Group 3
321,0.2065682096410918,Event,Group 3
322,0.01251981388615434,Event,Group 3
323,0.3317994582816158,Event,Group 3
324,0.07758878072673393,Event,Group 3
325,0.1936003311418835,Event,Group 3
326,0.6213077438820244,Event,Group 3
327,0.6650473275882973,Event,Group 3
