,Values,Placement,Behaviors
0,0.07330159455975385,Baseline,Event 10
1,-0.6176687364789624,Baseline,Event 10
2,-0.3568578995265982,Baseline,Event 10
3,-0.1460121696401629,Baseline,Event 10
4,-0.06518233932932452,Baseline,Event 10
5,0.2855524085943726,Baseline,Event 10
6,-0.03279081467868842,Baseline,Event 10
7,0.3608929292816184,Event,Event 10
8,-0.3109019137105715,Event,Event 10
9,-0.3648216092799251,Event,Event 10
10,-0.3174322634050271,Event,Event 10
11,0.2960826574457543,Event,Event 10
12,0.2616626577349246,Event,Event 10
13,0.6213077438820244,Event,Event 10
14,-0.5915094562110277,Baseline,Event 15
15,0.1448986904328969,Baseline,Event 15
16,-0.2051598731082162,Baseline,Event 15
17,-0.260562474565079,Baseline,Event 15
18,-0.4947035325988829,Baseline,Event 15
19,-0.6439752748104312,Baseline,Event 15
20,-0.2789740174285129,Baseline,Event 15
21,-0.02831691994724799,Baseline,Event 15
22,0.630940608304634,Baseline,Event 15
23,0.08831962183528126,Baseline,Event 15
24,0.08449591584721919,Baseline,Event 15
25,-0.4851880489020839,Baseline,Event 15
26,-0.5926151768446934,Baseline,Event 15
27,-0.6807864568289503,Baseline,Event 15
28,-0.3870042824012833,Baseline,Event 15
29,-0.2158281894327093,Baseline,Event 15
30,-0.2034124110889151,Baseline,Event 15
31,0.1537950024458724,Baseline,Event 15
32,-0.35732977804821,Baseline,Event 15
33,0.10837310715474,Baseline,Event 15
34,0.2528593538830175,Baseline,Event 15
35,-0.4527217813358,Event,Event 15
36,0.2244183840955734,Event,Event 15
37,-0.8745811260298393,Event,Event 15
38,-0.1338126467360738,Event,Event 15
39,-0.6220700454022663,Event,Event 15
40,-0.4952755426256546,Event,Event 15
41,0.3274945789579354,Event,Event 15
42,0.1952239503102853,Event,Event 15
43,-0.05375771870284918,Event,Event 15
44,-0.02143814472572796,Event,Event 15
45,-0.3219184695947072,Event,Event 15
46,-0.4465802805444176,Event,Event 15
47,0.09612987901805069,Event,Event 15
48,0.2813561226671732,Event,Event 15
49,-0.0922984304217309,Event,Event 15
50,0.2065682096410918,Event,Event 15
51,0.01251981388615434,Event,Event 15
52,0.3317994582816158,Event,Event 15
53,0.07758878072673393,Event,Event 15
54,0.1936003311418835,Event,Event 15
55,0.6650473275882973,Event,Event 15
56,4.276479410412173,Baseline,Event 16
57,1.869901521527697,Baseline,Event 16
