,Time,zF
0,0.0,-0.6132436108186451
1,0.05,-0.41241520515266195
2,0.1,-0.14404489847287205
3,0.15,-0.17201277201648732
4,0.2,-0.2101056484458753
5,0.25,-0.2875302677068597
6,0.3,-0.1299551228375654
7,0.35,-0.08747405649323195
8,0.4,-0.0683112001079428
9,0.45,-0.08354815859126587
10,0.5,-0.07325346296611396
11,0.55,-0.12348090259345532
12,0.6,-0.21869285271962274
13,0.65,-0.2609937477709846
14,0.7,-0.30452419578766726
15,0.75,-0.34683402659480006
16,0.8,-0.38623998552371286
17,0.85,-0.4099902602195391
18,0.9,-0.4495040633351043
19,0.95,-0.49734980911292376
20,1.0,-0.48287043913923866
21,1.05,-0.4955790259301043
22,1.1,-0.49237924575585845
23,1.15,-0.501311488274271
24,1.2,-0.4901890750368089
25,1.25,-0.47112697475936166
26,1.3,-0.442911681536089
27,1.35,-0.45433587878684273
28,1.4,-0.4644064524777497
29,1.45,-0.48432835381591094
30,1.5,-0.49734741838205854
31,1.55,-0.5029048907769798
32,1.6,-0.5217425823244006
33,1.65,-0.5462033745604494
34,1.7,-0.5605997996536928
35,1.75,-0.570276161330134
36,1.8,-0.5833490426458122
37,1.85,-0.6021893166258718
38,1.9,-0.628661027021824
39,1.95,-0.6294371490494726
40,2.0,-0.6591551112774527
41,2.05,-0.6967306373992886
42,2.1,-0.7308401629040786
43,2.15,-0.7598692424281492
44,2.2,-0.792378211025815
45,2.25,-0.8050071600667644
46,2.3,-0.8563210711054442
47,2.35,-0.8673753532949762
48,2.4,-0.8891494803312681
49,2.45,-0.9094362767362281
50,2.5,-0.9383534315586456
51,2.55,-0.9520382870989784
52,2.6,-0.9550905626083019
53,2.65,-0.9477897917973721
54,2.7,-0.9582771017396845
55,2.75,-0.9620936702640733
56,2.8,-0.9680539225155796
57,2.85,-0.9599127237060683
58,2.9,-0.9376243168453368
59,2.95,-0.9300600669534027
60,3.0,-0.9285392868866972
61,3.05,-0.9235830526069947
62,3.1,-0.9223499799457064
63,3.15,-0.9203205937450899
64,3.2,-0.9183637243930436
65,3.25,-0.9088706327236532
66,3.3,-0.9149620775724958
67,3.35,-0.930897684704248
68,3.4,-0.8922560179294234
69,3.45,-0.8908437926025904
70,3.5,-0.8782275111174536
71,3.55,-0.8485975400819791
72,3.6,-0.8333182651074953
73,3.65,-0.8138584158482702
74,3.7,-0.803482387133669
75,3.75,-0.7763075569795727
76,3.8,-0.7633207905069117
77,3.85,-0.7257500115981396
