Zscore,SEM,Time
0.5375890095881185,0.6396499065718353,-5.0
0.536246869178744,0.6219405085924425,-4.95
0.5188593540611036,0.5974606801997729,-4.9
0.48044301067852146,0.5716239910604825,-4.85
0.429540565975776,0.5457451894290783,-4.8
0.39299921513124453,0.5161671560650669,-4.75
0.3683675474124402,0.49678299657163016,-4.7
0.33359311961884747,0.4782419417696503,-4.65
0.2969180446812207,0.45556432870220975,-4.6
0.26916040995885265,0.43693981216801125,-4.55
0.25447187073243677,0.41998090020234263,-4.5
0.21754792644453289,0.40161613425144843,-4.45
0.19089150256661144,0.38293907707310093,-4.4
0.17482722177093998,0.3756686019453195,-4.35
0.1649625615603669,0.3587492739371194,-4.3
0.1506448095953221,0.34296709538665116,-4.25
0.13310439422032058,0.32847042198888615,-4.2
0.12890877091758554,0.3157998687556619,-4.15
0.13628445260224967,0.30686734694598405,-4.1
0.11199159027973102,0.2968507541737394,-4.05
0.09846214716384435,0.28900920409801334,-4.0
0.08537622750233478,0.2835542011428247,-3.95
0.03918670255301376,0.27466311322763104,-3.9
0.028384178146679578,0.27665414128098526,-3.85
0.041627820304839865,0.28430029000360846,-3.8
0.0004335956139992016,0.27566216294099744,-3.75
-0.035040429944894154,0.2703041958500894,-3.7
-0.04899297154223264,0.27075484997479693,-3.65
-0.05223711406376582,0.27466418878788884,-3.6
-0.06306783628032182,0.27374271835741937,-3.55
-0.07464586387628072,0.2695585136207177,-3.5
-0.100718986443728,0.2604500131949799,-3.45
-0.1124884183092545,0.2536012604477263,-3.4
-0.14445249487242626,0.24892975292298683,-3.35
-0.15519148215232578,0.2487741084502415,-3.3
-0.16335441027646888,0.24737516380907698,-3.25
-0.1620461455136269,0.24565644984609758,-3.2
-0.16232856184312158,0.24750881673953393,-3.15
-0.16158265231578803,0.2548043055286189,-3.1
-0.1885512221159702,0.26350655539567314,-3.05
-0.1741018159915711,0.27353222891125645,-3.0
-0.19263348075736916,0.27767743656676147,-2.95
-0.19740207832442164,0.28925115417127634,-2.9
-0.1958121214932473,0.3032768960913771,-2.85
-0.20373241917141657,0.3120010082572176,-2.8
-0.19177139389717807,0.31729234570280457,-2.75
-0.16895275491519549,0.3248056060069906,-2.7
-0.13450173160893933,0.3337370681618765,-2.65
-0.12739767204354754,0.34389498340682934,-2.6
-0.09772798762663408,0.35226869950479595,-2.55
-0.090876651287039,0.35568531589908653,-2.5
-0.06742606648735838,0.3680793884971269,-2.45
-0.046184395934148754,0.36383167943042305,-2.4
-0.039387223421396333,0.36762229289760145,-2.35
-0.030994677310362824,0.35987979617679966,-2.3
-0.030766374829565075,0.35439656531346797,-2.25
-0.028643305159625272,0.34961578592440845,-2.2
-0.032452769381404324,0.3477895318192065,-2.15
-0.03339313816146394,0.33904258374194574,-2.1
-0.028038517717510775,0.3349806146135308,-2.05
-0.04960712399854518,0.33292853877899037,-2.0
-0.05918787701675356,0.3224938100044583,-1.95
-0.05850467159893962,0.32009022841984175,-1.9
-0.03679864310654229,0.31324282217252475,-1.85
-0.02353705529405224,0.31202137036153815,-1.8
-0.027175412962213295,0.30426050138311794,-1.75
-0.0292390383965507,0.30230390442574695,-1.7
-0.002245868033284954,0.2946056488889729,-1.65
0.023951287115352642,0.2935762975729289,-1.6
0.04226308412005813,0.2949982551376858,-1.55
0.0627677183098805,0.28746065218659383,-1.5
0.06296521953124687,0.2768876123330148,-1.45
0.052571732978169514,0.2826198508708307,-1.4
0.04984319542491759,0.2769873483504683,-1.35
0.037125528151931896,0.2796746765420622,-1.3
0.04326962315254512,0.2751390864427251,-1.25
0.02606724797076737,0.2790176940981601,-1.2
0.01044331753228527,0.28706946026212743,-1.15
0.0214379785308185,0.28554244928223504,-1.1
0.005204990562206425,0.29808352089293366,-1.05
-0.022507883675282336,0.31678696265275536,-1.0
-0.01985007576541546,0.3355945781271165,-0.95
-0.029237258811240032,0.35712343033844185,-0.9
-0.05121689712265572,0.3816126752252569,-0.85
-0.05469327843679212,0.4041766757726616,-0.8
-0.04977910181174187,0.42064065134966383,-0.75
-0.07273145689298614,0.44560335582422617,-0.7
-0.10132669695866652,0.47456784570387234,-0.65
-0.11485219597470024,0.49842293571787477,-0.6
-0.138760486376038,0.5209620705516024,-0.55
-0.15233672558982983,0.5478462194249373,-0.5
-0.16830667993640097,0.5766323567182616,-0.45
-0.17151857310507743,0.6069328942927068,-0.4
-0.18560909307187812,0.6351611813926377,-0.35
-0.215102735905668,0.6682889508847359,-0.3
-0.21864459993259341,0.6944310701361609,-0.25
-0.2282567239468076,0.73083491262584,-0.2
-0.22296558876431988,0.7674317695889524,-0.15
-0.16048649799103984,0.7984393012868755,-0.1
-0.15736043609425027,0.8298341087598752,-0.05
-0.11350809424193978,0.905198531661883,0.0
-0.08545751060550089,0.9567437172506262,0.05
-0.04355544532757235,0.9888883247247511,0.1
-0.0085231797515793,1.0288824644160928,0.15
0.02263256571231111,1.066850155672787,0.2
0.045108614437076255,1.1019382187402544,0.25
0.09050158915848565,1.1423763036841004,0.3
0.14971162706722702,1.1734604695447306,0.35
0.21297654888358547,1.1945465245630338,0.4
0.246242698269964,1.2285379397989469,0.45
0.297596100454804,1.2601682061926698,0.5
0.339825167729138,1.2853040763994112,0.55
0.39383766628724753,1.3164439732809028,0.6
0.4427757156752851,1.3518658534693317,0.65
0.5029632125765363,1.3781024846698282,0.7
0.5495430889901265,1.4095895585173437,0.75
0.6005221573191516,1.433766722768785,0.8
0.6611989071581708,1.4633841308969602,0.85
0.7220629395306556,1.4985214368946311,0.9
